Title,Year,Rating,Vote Count,Language
Rosemary's Baby,1968,7.8,4202,en
La luna,2012,7.8,821,en
Sunrise: A Song of Two Humans,1927,7.8,863,en
Us Again,2021,7.8,340,en
Fantozzi: White Collar Blues,1975,7.824,854,it
Two Women,1960,7.8,556,it
Ivan's Childhood,1962,7.823,796,ru
3-Iron,2004,7.823,1210,ko
Finch,2021,7.82,3788,en
"No Game, No Life: Zero",2017,7.8,422,ja
Temple Grandin,2010,7.822,523,en
Tampopo,1985,7.822,404,ja
To Be or Not to Be,1942,7.8,786,en
The Boy in the Striped Pyjamas,2008,7.821,7460,en
Logan,2017,7.82,19977,en
Tod@s Caen,2019,7.819,480,es
The Bridge on the River Kwai,1957,7.819,2263,en
Network,1976,7.8,1907,en
Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.8,21638,en
Finding Nemo,2003,7.8,20080,en
Snatch,2000,7.816,9610,en
Raya and the Last Dragon,2021,7.814,7105,en
The Grapes of Wrath,1940,7.8,1056,en
Charm City Kings,2020,7.8,489,en
Spotlight,2015,7.814,8560,en
World of Tomorrow,2015,7.8,345,en
"Love, Rosie",2014,7.814,6399,en
The Man Who Shot Liberty Valance,1962,7.814,1230,en
Paprika,2006,7.814,2698,ja
Joint Security Area,2000,7.8,769,ko
Invisible Life,2019,7.8,333,pt
Fantastic Mr. Fox,2009,7.812,5847,en
Midnight Sun,2018,7.811,3513,en
Close to the Horizon,2019,7.8,499,de
Before Sunset,2004,7.8,3638,en
F1,2025,7.813,2707,en
Rio Bravo,1959,7.8,1214,en
The Wrong Trousers,1993,7.8,1102,en
A Bag of Marbles,2017,7.804,881,fr
A Moment to Remember,2004,7.8,344,ko
Toy Story 3,2010,7.803,15314,en
L.A. Confidential,1997,7.804,5300,en
Mulholland Drive,2001,7.804,6754,en
Fail Safe,1964,7.8,437,en
The Best Offer,2013,7.803,2969,it
Monty Python and the Holy Grail,1975,7.8,6160,en
The Perks of Being a Wallflower,2012,7.802,10913,en
The Working Class Goes to Heaven,1971,7.8,363,it
Infernal Affairs,2002,7.802,1776,cn
Die Hard,1988,7.8,11811,en
Harry Potter and the Goblet of Fire,2005,7.8,21639,en
Land of Mine,2015,7.8,1431,da
Mr. Nobody,2009,7.8,6061,en
Into the Wild,2007,7.8,9899,en
Io Capitano,2023,7.799,784,it
My Life as a Zucchini,2016,7.799,1460,fr
Whiplash,2013,7.8,384,en
A Movie of Eggs,2006,7.799,312,es
"Spring, Summer, Fall, Winter... and Spring",2003,7.796,1143,ko
STRAW,2025,7.797,874,en
1900,1976,7.8,661,it
The Phantom Carriage,1921,7.8,342,sv
I Saw the Devil,2010,7.795,2854,ko
Porco Rosso,1992,7.794,3551,ja
Rocky,1976,7.793,8327,en
Nostalgia,1983,7.8,578,ru
The Whale,2022,7.79,4378,en
Luca,2021,7.79,8744,en
The Wind Rises,2013,7.791,3222,ja
One Hundred Steps,2000,7.8,713,it
The Dark Knight Rises,2012,7.789,23755,en
Gifted Hands: The Ben Carson Story,2009,7.789,759,en
A Woman Under the Influence,1974,7.8,538,en
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,7.788,500,en
Bajrangi Bhaijaan,2015,7.787,517,hi
Evangelion: 2.0 You Can (Not) Advance,2009,7.787,947,ja
Solaris,1972,7.787,1738,ru
Presto,2008,7.785,1037,en
The Twilight Samurai,2002,7.785,340,ja
Close,2022,7.784,927,fr
Don't Be Bad,2015,7.784,1013,it
Brokeback Mountain,2005,7.785,7344,en
The Best Years of Our Lives,1946,7.8,702,en
The Specials,2019,7.782,962,fr
The King of Comedy,1982,7.8,2475,en
Straight Outta Compton,2015,7.8,4088,en
The Girl Who Leapt Through Time,2006,7.8,2151,ja
The Diamond Arm,1969,7.8,307,ru
Fanny and Alexander,1982,7.8,839,sv
Perfect Days,2023,7.78,1683,ja
Still Walking,2008,7.8,411,ja
Freaks,1932,7.8,1258,en
Scent of a Woman,1992,7.778,3745,en
All My Life,2020,7.8,507,en
